,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label
647,tt0048347,Thé Mán with thé Gớldén Árm,,1955,\N,119,10832.0,True
654,tt0048499,La Pointe Courte,,1955,\N,80,3361.0,True
672,tt0049042,The Rocket from Calabuch,,1956,\N,93,1065.0,True
683,tt0049397,Cárnivál in Mớscớw,,1956,\N,78,2549.0,True
691,tt0049601,Patterns,,1956,\N,83,2740.0,True
710,tt0050281,The Cyclops,,1957,\N,66,1010.0,False
744,tt0051411,Thé Big Cớúntry,,1958,\N,166,17321.0,True
764,tt0052104,Queen of Outer Space,,1958,\N,80,2121.0,False
777,tt0052394,The Wild Women of Wongo,,1958,\N,72,1238.0,False
841,tt0053849,The Gallant Hours,,1960,\N,115,1560.0,True
854,tt0054115,Never Let Go,Never Let Go,1960,\N,90,1436.0,True
861,tt0054205,Primary,Primary,1960,\N,60,1302.0,True
864,tt0054248,Rocco and His Brothers,,1960,\N,179,18193.0,True
908,tt0055304,The Pit and the Pendulum,,1961,\N,80,13944.0,True
930,tt0055946,Eegah,Eegah,1962,\N,92,5821.0,False
949,tt0056262,The Music Man,The Music Man,1962,\N,151,16860.0,True
972,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,\N,95,471484.0,True
978,tt0057227,Kissin' Cớúsins,,1964,\N,96,2123.0,False
987,tt0057503,New Tale of Zatoichi,Shin Zatôichi monogatari,1963,\N,91,2012.0,True
997,tt0057654,Barren Lives,,1963,\N,103,2517.0,True
1001,tt0057812,7 Faces of Dr. Lao,,\N,1964,100,4774.0,True
1003,tt0057869,Band of Outsiders,,1964,\N,95,24204.0,True
1009,tt0058006,"Black God, White Devil",,1964,\N,120,4527.0,True
1012,tt0058101,The Flesh Eaters,The Flesh Eaters,1964,\N,87,1131.0,False
1014,tt0058138,Gertrud,Gertrud,1964,\N,116,,True
1015,tt0058208,The Horror of Party Beach,The Horror of Party Beach,1964,\N,78,2924.0,False
1017,tt0058263,King & Country,,1964,\N,88,2109.0,True
1028,tt0058440,Pajama Party,Pajama Party,1964,\N,82,1148.0,False
1037,tt0058604,Soy Cuba,Soy Cuba,1964,\N,141,9055.0,True
1045,tt0058962,The Bedford Incident,The Bedford Incident,1965,\N,102,5043.0,True
1093,tt0060380,Esta Noite Encarnarei no Teu Cadáver,Esta Noite Encarnarei no Teu Cadáver,1967,\N,108,1834.0,True
1098,tt0060464,"Ébiráh, Hớrrớr ớf thé Déép","Gojira, Ebirâ, Mosura: Nankai no daiketto",1966,\N,87,5226.0,False
1117,tt0061115,The Trap,,1966,\N,106,,True
1119,tt0061140,The Undertaker and His Pals,,1966,\N,63,1109.0,False
1121,tt0061189,The Wild Angels,,1966,\N,93,2907.0,False
1144,tt0061595,Double Trouble,,1967,\N,91,1467.0,False
1158,tt0061791,Hớw tớ Súccééd in Búsinéss Withớút Réálly Trying,,1967,\N,121,4512.0,True
1173,tt0062150,Prehistoric Women,,1967,\N,95,1101.0,False
1178,tt0062277,I Even Met Happy Gypsies,Skupljaci perja,1967,\N,94,2233.0,True
1180,tt0062322,Dry Summer,,1963,\N,90,4539.0,True
1182,tt0062393,Three Poplars on Plyuschikha Street,,1968,\N,79,,True
1198,tt0062979,Flesh,Flesh,1968,\N,89,2399.0,False
1207,tt0063198,Death by Hanging,Kôshikei,1968,\N,117,2655.0,True
1243,tt0064169,The Sicilian Clan,Le clan des siciliens,1969,\N,122,7789.0,True
1256,tt0064482,In thé Yéár ớf thé Pig,In the Year of the Pig,1968,\N,103,1744.0,True
1259,tt0064612,My Night at Maud's,,1969,\N,110,12204.0,True
1265,tt0064923,Sam Whiskey,Sam Whiskey,1969,\N,96,1449.0,False
1266,tt0064939,Satan's Sadists,Satan's Sadists,1969,\N,86,1044.0,False
1270,tt0065125,The Trouble with Girls,,1969,\N,97,1494.0,False
1282,tt0065457,Beg,,1971,\N,196,,True
1287,tt0065597,Cry of the Banshee,,1970,\N,91,2320.0,False
1293,tt0065782,Sunflower,I girasoli,1970,\N,107,3713.0,True
1315,tt0066492,Trog,,1970,\N,93,2809.0,False
1322,tt0066561,When Dinosaurs Ruled the Earth,,1970,\N,100,2466.0,False
1329,tt0066765,And Now for Something Completely Different,,1971,\N,88,29815.0,True
1333,tt0066834,Black Beauty,Black Beauty,1971,\N,106,1043.0,False
1334,tt0066842,Bleak Moments,,1971,\N,106,1404.0,True
1337,tt0066900,Catlow,Catlow,1971,\N,101,,False
1341,tt0066940,Confessions of a Police Captain,Confessione di un commissario di polizia al procuratore della repubblica,1971,\N,101,1418.0,True
1343,tt0066970,Cold Sweat,De la part des copains,1970,\N,94,2542.0,False
1348,tt0067116,Thé Frénch Cớnnéctiớn,The French Connection,1971,\N,104,117277.0,True
1352,tt0067140,"Duck, You Sucker!",,1971,\N,157,33448.0,True
1360,tt0067402,"Máry, Qúéén ớf Scớts",,1971,\N,128,4276.0,True
1374,tt0067789,Stariki-razboyniki,,1972,\N,92,1991.0,True
1409,tt0068537,Élvis ớn Tớúr,Elvis on Tour,1972,\N,93,1480.0,True
1410,tt0068569,Family Life,,\N,1971,108,1607.0,True
1418,tt0068727,"I, Mớnstér",,1971,\N,75,1414.0,False
1456,tt0069851,Frankenstein's Castle of Freaks,,1974,\N,89,1080.0,False
1457,tt0069865,Chárléy Várrick,Charley Varrick,1973,\N,111,11811.0,True
1459,tt0069947,The Day of the Jackal,The Day of the Jackal,1973,\N,143,39607.0,True
1465,tt0070077,The Friends of Eddie Coyle,,1973,\N,102,10034.0,True
1501,tt0071194,The Bank Shot,,1974,\N,83,1020.0,False
1510,tt0071464,Emmanuelle,Emmanuelle,1974,\N,94,,False
1512,tt0071487,The Phantom of Liberty,,1974,\N,104,,True
1528,tt0072030,Cousin Angelica,La prima Angélica,1974,\N,107,1015.0,True
1544,tt0072886,Doc Savage: The Man of Bronze,,1975,\N,112,1885.0,False
1553,tt0073000,The Pinchcliffe Grand Prix,,1975,\N,88,13014.0,True
1556,tt0073042,The Ghoul,The Ghoul,1975,\N,88,1640.0,False
1566,tt0073424,Mother Kusters Goes to Heaven,,1975,\N,120,1895.0,True
1570,tt0073502,Overlord,,1975,\N,83,2878.0,True
1589,tt0074287,The House with Laughing Windows,La casa dalle finestre che ridono,1976,\N,110,5109.0,True
1610,tt0074605,Harlan County U.S.A.,Harlan County U.S.A.,1976,\N,103,5589.0,True
1617,tt0074740,Keoma,,1976,\N,105,5424.0,True
1638,tt0075334,To the Devil a Daughter,To the Devil a Daughter,1976,\N,95,,False
1686,tt0076809,Tentacles,Tentacoli,1977,\N,102,3606.0,False
1703,tt0077405,Days of Heaven,,1978,\N,94,56145.0,True
1747,tt0078836,Bear Island,,1979,\N,118,,False
1753,tt0078976,City ớn Firé,City on Fire,1979,\N,106,1241.0,False
1772,tt0079590,Muqaddar Ka Sikandar,Muqaddar Ka Sikandar,1978,\N,189,2757.0,True
1776,tt0079709,Penitentiary,Penitentiary,1979,\N,99,1049.0,False
1791,tt0080120,The Warriors,,1979,\N,92,99041.0,True
1799,tt0080455,The Blues Brothers,,1980,\N,133,192064.0,True
1814,tt0080928,Insidé Mớvés,Inside Moves,1980,\N,113,1796.0,True
1819,tt0081178,The Monster Club,The Monster Club,1981,\N,94,3513.0,False
1824,tt0081291,Out of the Blue,Out of the Blue,1980,\N,94,2700.0,True
1829,tt0081554,Stardust Memories,Stardust Memories,1980,\N,89,22209.0,True
1837,tt0082084,Bloody Birthday,Bloody Birthday,\N,1981,85,4746.0,False
1870,tt0082644,Laawaris,,1981,\N,189,2321.0,True
1885,tt0082806,New Year's Evil,New Year's Evil,\N,1980,85,2907.0,False
1887,tt0082912,Pixote,Pixote: A Lei do Mais Fraco,1980,\N,128,7542.0,True
1909,tt0083310,Wacko,Wacko,1982,\N,90,1171.0,False
1918,tt0083702,Búrdén ớf Dréáms,,1982,\N,95,6985.0,True
1922,tt0083824,Qúártér tớ Twớ Béfớré Jésús Christ,,1982,\N,100,1586.0,False
1939,tt0084302,The Marathon Family,Maratonci trce pocasni krug,1982,\N,92,15402.0,True
1944,tt0084370,My Favorite Year,,1982,\N,92,9366.0,True
1955,tt0084591,"Reuben, Reuben","Reuben, Reuben",1983,\N,101,1205.0,True
1959,tt0084630,Satte Pe Satta,Satte Pe Satta,1982,\N,160,3289.0,True
1965,tt0084726,Stár Trék II: Thé Wráth ớf Khán,,\N,1982,113,117509.0,True
1973,tt0084845,Uuno Turhapuro menettää muistinsa,,1982,\N,82,1130.0,False
1985,tt0085266,Bớớgéymán II,Revenge of the Boogeyman,1983,\N,79,1094.0,False
1990,tt0085335,Chuchelo,Chuchelo,1984,\N,127,1578.0,True
1995,tt0085390,Daffy Duck's Movie: Fantastic Island,,1983,\N,78,1917.0,True
1996,tt0085454,The World of Don Camillo,Don Camillo,1984,\N,126,1917.0,False
2011,tt0085768,Kakav deda takav unuk,Kakav deda takav unuk,1983,\N,92,1313.0,True
2013,tt0085780,The Keep,,1983,\N,96,11808.0,False
2014,tt0085794,The King of Comedy,The King of Comedy,1982,\N,109,97627.0,True
2029,tt0086112,The Pirates of Penzance,,1983,\N,112,3422.0,True
2037,tt0086231,Sagara Sangamam,Sagara Sangamam,\N,1983,160,3058.0,True
2040,tt0086250,Scarface,Scarface,1983,\N,170,788117.0,True
2046,tt0086361,Staying Alive,Staying Alive,1983,\N,93,15551.0,False
2080,tt0087032,Cannonball Run II,,1984,\N,108,15743.0,False
2082,tt0087123,Strangler vs. Strangler,Davitelj protiv davitelja,1984,\N,93,3499.0,True
2086,tt0087332,Ghostbusters,Ghostbusters,\N,1984,105,387118.0,True
2088,tt0087349,"Blue Mountains, or Unbelievable Story",,1983,\N,97,1865.0,True
2094,tt0087481,Double Trouble,,1984,\N,99,9873.0,True
2098,tt0087644,Love Streams,,1984,\N,141,5730.0,True
2135,tt0088760,Baby: Secret of the Lost Legend,Baby: Secret of the Lost Legend,1985,\N,95,3267.0,False
2141,tt0088930,Clue,Clue,\N,1985,94,91894.0,True
2148,tt0089060,The Dungeonmaster,Ragewar,1984,\N,73,2219.0,False
2169,tt0089598,Miranda,Miranda,1985,\N,96,2133.0,False
2184,tt0089853,The Purple Rose of Cairo,,1985,\N,82,50378.0,True
2195,tt0090184,Tomboy,Tomboy,1985,\N,91,1513.0,False
2198,tt0090246,"Vabank II, czyli riposta","Vabank II, czyli riposta",1985,\N,97,2546.0,True
2203,tt0090556,"'night, Mớthér","'night, Mother",1986,\N,96,2244.0,True
2217,tt0090903,The Devil's Honey,Il miele del diavolo,\N,1986,83,1255.0,False
2221,tt0091055,Firewalker,,1986,\N,105,,False
2223,tt0091093,Thé Fúgitivés,,1986,\N,95,6631.0,True
2224,tt0091113,Gingér & Fréd,Ginger e Fred,1986,\N,125,5063.0,True
2227,tt0091165,Hamburger: The Motion Picture,,1986,\N,90,1797.0,False
2228,tt0091166,Hands of Steel,,1986,\N,94,2462.0,False
2235,tt0091276,Invaders from Mars,Invaders from Mars,1986,\N,100,8640.0,False
2236,tt0091278,Iron Eagle,,1986,\N,117,14115.0,False
2247,tt0091555,Mớrrhår & ärtớr,Morrhår & ärtor,1986,\N,101,,False
2260,tt0091814,Quicksilver,,1986,\N,105,4710.0,False
2262,tt0091836,Réfớrm Schớớl Girls,,\N,1986,94,2421.0,False
2264,tt0091902,White Slave,,1985,\N,90,1738.0,False
2287,tt0092580,Aria,,1987,\N,90,2768.0,False
2289,tt0092618,Barfly,Barfly,1987,\N,100,19782.0,True
2290,tt0092651,The Cyclist,Bicycleran,1989,\N,82,2050.0,True
2297,tt0092732,Castaway,Castaway,1986,\N,117,3224.0,False
2310,tt0093043,Delirium,,1987,\N,94,1900.0,False
2315,tt0093113,Django Strikes Again,Django 2 - Il grande ritorno,1987,\N,88,1171.0,False
2319,tt0093164,Heat,,1986,\N,101,,False
2323,tt0093191,Wings of Desire,Der Himmel über Berlin,1987,\N,128,68656.0,True
2330,tt0093405,Leonard Part 6,Leonard Part 6,1987,\N,85,8221.0,False
2331,tt0093409,Lethal Weapon,Lethal Weapon,\N,1987,109,248539.0,True
2356,tt0093872,Robot Holocaust,Robot Holocaust,1987,\N,79,1766.0,False
2380,tt0094590,Depeche Mode: 101,Depeche Mode: 101,1989,\N,120,,True
2384,tt0094627,Edge of the Axe,Al filo del hacha,1988,\N,91,1908.0,False
2395,tt0094824,Caddyshack II,Caddyshack II,1988,\N,98,15346.0,False
2414,tt0095241,Gor,Gor,1987,\N,94,,False
2421,tt0095312,Hollywood Chainsaw Hookers,Hollywood Chainsaw Hookers,1988,\N,75,3281.0,False
2429,tt0095489,Thé Lánd Béfớré Timé,The Land Before Time,1988,\N,69,84873.0,True
2439,tt0095799,Otto - Der Neue Film,,1987,\N,82,2345.0,False
2481,tt0097202,The Killer,,1989,\N,111,47393.0,True
2505,tt0097613,The January Man,The January Man,1989,\N,97,8264.0,False
2514,tt0097815,Májớr Léágúé,,1989,\N,107,66220.0,True
2515,tt0097841,Marrakech Express,,1989,\N,110,2231.0,True
2522,tt0097942,Mystics in Bali,,1981,\N,116,1220.0,False
2543,tt0098356,Some Girls,,1988,\N,94,3258.0,False
2564,tt0099385,Death Warrant,,1990,\N,89,18353.0,False
2569,tt0099487,Edward Scissorhands,,1990,\N,105,467539.0,True
2588,tt0099991,The Last of the Finest,,1990,\N,106,1339.0,False
2602,tt0100232,Navy Seals,,\N,1990,113,,False
2612,tt0100514,The Rookie,The Rookie,1990,\N,120,26716.0,False
2634,tt0101507,Boyz n the Hood,Boyz n the Hood,1991,\N,112,134612.0,True
2660,tt0102258,Lámhé,Lamhe,1991,\N,187,,True
2681,tt0102848,Scanners II: The New Order,Scanners II: The New Order,1991,\N,104,3114.0,False
2685,tt0102926,The Silence of the Lambs,,\N,1991,118,1348539.0,True
2694,tt0103130,Trust,Trust,1990,\N,107,11074.0,True
2705,tt0103791,Belle Epoque,,1992,\N,109,10008.0,True
2708,tt0103874,Dracula,Dracula,1992,\N,128,207240.0,True
2709,tt0103888,Brother's Keeper,,1992,\N,104,4010.0,True
2721,tt0104135,Double Trouble,Double Trouble,1992,\N,86,1708.0,False
2726,tt0104391,Hard Hunted,,1993,\N,97,1102.0,False
2728,tt0104438,Honeymoon in Vegas,,1992,\N,96,,False
2732,tt0104652,Porco Rosso,,1992,\N,94,84504.0,True
2773,tt0105616,Tom and Jerry: The Movie,Tom and Jerry: The Movie,1992,\N,84,10684.0,False
2774,tt0105631,Traces of Red,Traces of Red,1992,\N,105,1651.0,False
2786,tt0106258,American Samurai,American Samurai,1992,\N,94,1935.0,False
2787,tt0106303,Arctic Blue,Arctic Blue,1993,\N,95,1033.0,False
2792,tt0106393,Best of the Best II,Best of the Best II,1993,\N,101,5719.0,False
2802,tt0106557,Children of the Corn II: The Final Sacrifice,,1992,\N,92,8272.0,False
2809,tt0106779,Drömkåken,Drömkåken,1993,\N,101,3275.0,False
2823,tt0107166,Hum Hain Rahi Pyar Ke,,1993,\N,163,5677.0,True
2827,tt0107290,Jurassic Park,Jurassic Park,\N,1993,127,919997.0,True
2831,tt0107333,Knights,Knights,1993,\N,90,2002.0,False
2844,tt0107819,Philadelphia Experiment II,Philadelphia Experiment II,1993,\N,97,,False
2845,tt0107863,Posse,,1993,\N,111,4377.0,False
2850,tt0107930,Reckless Kelly,Reckless Kelly,1993,\N,103,1691.0,False
2882,tt0109067,The Air Up There,,1994,\N,107,8835.0,False
2885,tt0109120,Andre,,1994,\N,95,,False
2911,tt0109739,Ernest Goes to School,Ernest Goes to School,1994,\N,89,2599.0,False
2917,tt0109835,Frank & Jesse,,1994,\N,105,1447.0,False
2942,tt0110305,Lassie,Lassie,1994,\N,94,,False
2954,tt0110632,Natural Born Killers,,1994,\N,118,226663.0,True
2966,tt0110907,Réády tớ Wéár,,1994,\N,133,14946.0,False
2967,tt0110917,A Pure Formality,Una pura formalità,1994,\N,108,11257.0,True
2973,tt0111149,Shállớw Grávé,,1994,\N,89,59528.0,True
2983,tt0111438,Timecop,Timecop,1994,\N,99,,False
2984,tt0111470,Trading Mom,,1994,\N,85,1909.0,False
3003,tt0112513,Sailor Moon SuperS: The Movie: Black Dream Hole,,\N,1995,60,1577.0,True
3007,tt0112609,Wild Hớrsés,,1995,\N,122,1529.0,True
3027,tt0113189,GoldenEye,,1995,\N,130,250071.0,True
3041,tt0113580,Kummeli Stories,Kummeli Stories,1995,\N,90,2316.0,True
3050,tt0113757,A Chinese Torture Chamber Story,,1994,\N,88,1309.0,False
3051,tt0113774,Margaret's Museum,Margaret's Museum,1995,\N,114,1342.0,True
3063,tt0113986,Niné Mớnths,,\N,1995,103,36367.0,False
3071,tt0114306,Rúmpélstiltskin,,\N,1995,87,2386.0,False
3085,tt0114690,Tokyo Fist,,1995,\N,87,3354.0,True
3097,tt0115040,The Garden,Záhrada,1995,\N,99,1942.0,True
3102,tt0115568,Army,,1996,\N,153,1685.0,False
3130,tt0116165,Ed,,1996,\N,94,8491.0,False
3138,tt0116274,Familia,Familia,1996,\N,98,1335.0,True
3150,tt0116587,Hustler White,,\N,1996,79,,False
3155,tt0116695,Jerry Maguire,Jerry Maguire,1996,\N,139,254959.0,True
3156,tt0116705,Jingle All the Way,Jingle All the Way,1996,\N,89,98926.0,False
3169,tt0116860,"Pretty Village, Pretty Flame",,1996,\N,115,15939.0,True
3172,tt0116905,Lone Star,,1996,\N,135,29237.0,True
3181,tt0117143,Nach Fünf im Urwald,,1995,\N,99,1526.0,True
3192,tt0117412,Pédale douce,Pédale douce,1996,\N,100,1786.0,False
3197,tt0117533,Sabotage,Sabotage,1996,\N,99,1552.0,False
3205,tt0117690,Some Mother's Son,,1996,\N,112,2765.0,True
3211,tt0117826,Bordello of Blood,Bordello of Blood,1996,\N,87,,False
3215,tt0117909,Earth,Tierra,1996,\N,125,3841.0,True
3218,tt0117951,Tráinspớtting,Trainspotting,1996,\N,93,661580.0,True
3245,tt0118849,Children of Heaven,,1997,\N,89,71329.0,True
3246,tt0118852,Chinese Coffee,,\N,2000,99,4174.0,True
3249,tt0118998,Doctor Dolittle,Doctor Dolittle,\N,1998,85,95431.0,False
3263,tt0119174,The Game,,\N,1997,129,373927.0,True
3273,tt0119272,Heaven's Burning,Heaven's Burning,1997,\N,96,1991.0,False
3275,tt0119304,Home Fries,Home Fries,1998,\N,91,8384.0,False
3282,tt0119389,The Island on Bird Street,,\N,1997,107,1608.0,True
3295,tt0119657,Men with Guns,,1997,\N,127,2744.0,True
3305,tt0119934,Without Limits,,1998,\N,117,6947.0,True
3319,tt0120176,The Spanish Prisoner,,1997,\N,110,24169.0,True
3330,tt0120382,Thé Trúmán Shớw,The Truman Show,1998,\N,103,1002936.0,True
3338,tt0120611,Blade,,1998,\N,120,260175.0,True
3353,tt0120741,Mafia!,,\N,1998,87,15183.0,False
3356,tt0120765,My Giant,My Giant,\N,1998,103,6820.0,False
3357,tt0120768,The Negotiator,,\N,1998,140,137057.0,True
3366,tt0120891,Wild Wild West,Wild Wild West,1999,\N,106,157425.0,False
3374,tt0122689,The Rolling Stones Rock and Roll Circus,The Rolling Stones Rock and Roll Circus,1996,\N,65,1998.0,True
3402,tt0127626,Kiler,Kiler,1997,\N,104,6630.0,True
3412,tt0129167,The Iron Giant,,1999,\N,86,182933.0,True
3424,tt0131207,Tri plyus dva,,1963,\N,100,1869.0,True
3432,tt0133093,The Matrix,The Matrix,1999,\N,136,1787064.0,True
3440,tt0135024,Á Réál Yớúng Girl,Une vraie jeune fille,\N,1976,93,3736.0,False
3446,tt0136535,Webmaster,Skyggen,1998,\N,102,1133.0,False
3449,tt0137523,Fight Club,Fight Club,1999,\N,139,1969585.0,True
3455,tt0138467,Girl,,1998,\N,99,2925.0,False
3459,tt0139076,Bone Daddy,,1998,\N,90,1318.0,False
3467,tt0140282,In God's Hands,,1998,\N,96,1191.0,False
3471,tt0140796,Air Bud: Golden Receiver,Air Bud: Golden Receiver,1998,\N,90,5643.0,False
3472,tt0140825,Christmas in August,Palwolui Keuriseumaseu,1998,\N,97,,True
3474,tt0141716,Party Monster,Party Monster,\N,1998,57,1700.0,True
3499,tt0145505,Susan's Plan,Susan's Plan,1998,\N,89,1787.0,False
3507,tt0147800,10 Things I Hate About You,10 Things I Hate About You,1999,\N,97,319002.0,True
3511,tt0150176,Coming Soon,Coming Soon,1999,\N,96,1705.0,False
3526,tt0156096,Spring Forward,,1999,\N,110,1460.0,True
3527,tt0156323,Screwed,,2000,\N,81,9004.0,False
3546,tt0160236,Dudley Do-Right,Dudley Do-Right,1999,\N,77,10515.0,False
3556,tt0162983,Hanging Up,Hanging Up,2000,\N,94,12441.0,False
3570,tt0165396,My Brớthér thé Pig,,1999,\N,92,1498.0,False
3586,tt0166653,The Health Journey,Hälsoresan - En smal film av stor vikt,1999,\N,105,3400.0,False
3597,tt0168043,The Longest Nite,,1998,\N,84,2077.0,True
3600,tt0168446,Aberdeen,Aberdeen,2000,\N,113,3230.0,True
3608,tt0171049,Áirspééd,,1999,\N,81,,False
3613,tt0172396,The End of the Affair,The End of the Affair,1999,\N,102,22463.0,True
3614,tt0172493,"Girl, Interrupted",,\N,1999,127,175082.0,True
3622,tt0173772,My Voyage to Italy,Il mio viaggio in Italia,1999,\N,246,3238.0,True
3633,tt0176426,All the Rage,All the Rage,1999,\N,99,1857.0,False
3636,tt0177511,The Glass Agency,Ajans-E Shisheh-I,1998,\N,114,,True
3648,tt0180274,Unhinged,Unhinged,1982,\N,79,1774.0,False
3652,tt0180749,And the Woman Shall Fear Her Husband,I de gyni na fovitai ton andra,1965,\N,105,,True
3657,tt0181600,Yparhei Kai Filotimo,Yparhei kai filotimo,1965,\N,89,1324.0,True
3660,tt0181865,Traffic,,2000,\N,147,203040.0,True
3677,tt0186045,Drowning Mona,,2000,\N,96,14186.0,False
3697,tt0190419,Ghúlám,Ghulam,1998,\N,162,11234.0,True
3716,tt0196223,The Right Temptation,The Right Temptation,2000,\N,95,1179.0,False
3723,tt0199314,About Adam,,2000,\N,97,6539.0,False
3741,tt0203019,Mén ớf Hớnớr,Men of Honor,2000,\N,129,113323.0,True
3789,tt0216800,With a Friend Like Harry...,"Harry, un ami qui vous veut du bien",2000,\N,117,11213.0,True
